model,config,layers,tier,auroc,auroc_std,accuracy,accuracy_std,f1,f1_std,params
Qwen3-8B,early,L9,single,0.8103,0.0131,0.7329,0.0222,0.6915,0.0225,4262660
Qwen3-8B,mid,L18,single,0.8466,0.0227,0.765,0.0238,0.738,0.0185,4262660
Qwen3-8B,late,L27,single,0.8417,0.0152,0.7671,0.0244,0.7234,0.0386,4262660
Qwen3-8B,early+mid,L9+L18,double,0.8417,0.0236,0.7612,0.0266,0.7246,0.0217,8456964
Qwen3-8B,early+late,L9+L27,double,0.8364,0.0159,0.7562,0.0154,0.7226,0.0225,8456964
Qwen3-8B,mid+late,L18+L27,double,0.8515,0.0149,0.7642,0.0168,0.7395,0.0248,8456964
Qwen3-8B,triple,L9+L18+L27,triple,0.8427,0.0186,0.7621,0.0069,0.7289,0.0113,12651268
Mistral-7B,early,L8,single,0.7998,0.0078,0.7288,0.0022,0.6879,0.0155,4786948
Mistral-7B,mid,L16,single,0.8233,0.005,0.7388,0.007,0.7118,0.0073,4786948
Mistral-7B,late,L24,single,0.8047,0.0071,0.7292,0.0026,0.6897,0.0113,4786948
Mistral-7B,early+mid,L8+L16,double,0.821,0.0078,0.7438,0.0033,0.6999,0.0109,9505540
Mistral-7B,early+late,L8+L24,double,0.8047,0.0106,0.7283,0.0126,0.6812,0.0241,9505540
Mistral-7B,mid+late,L16+L24,double,0.815,0.0048,0.7367,0.0051,0.6956,0.0031,9505540
Mistral-7B,triple,L8+L16+L24,triple,0.8179,0.0037,0.7354,0.008,0.6965,0.0069,14224132
Llama-3-8B-Instruct,early,L8,single,0.8086,0.0116,0.7275,0.0132,0.6868,0.0192,4786948
Llama-3-8B-Instruct,mid,L16,single,0.8371,0.0112,0.7596,0.0071,0.7286,0.0074,4786948
Llama-3-8B-Instruct,late,L24,single,0.8209,0.0116,0.7417,0.0177,0.7065,0.0157,4786948
Llama-3-8B-Instruct,early+mid,L8+L16,double,0.8284,0.0162,0.7429,0.0113,0.7027,0.0106,9505540
Llama-3-8B-Instruct,early+late,L8+L24,double,0.8268,0.0205,0.7504,0.019,0.7129,0.0181,9505540
Llama-3-8B-Instruct,mid+late,L16+L24,double,0.8356,0.0141,0.7542,0.014,0.7172,0.0129,9505540
Llama-3-8B-Instruct,triple,L8+L16+L24,triple,0.8305,0.0136,0.7417,0.0182,0.7049,0.016,14224132
