dimension_index,raw_activation,standardized_activation,absolute_standardized_activation
0,0.080078125,1.3557161,1.3557161
1,0.13964844,2.004813,2.004813
2,-0.024291992,-0.39197594,0.39197594
3,0.10644531,1.9744247,1.9744247
4,0.0024414062,-0.08226142,0.08226142
5,0.123535156,2.079339,2.079339
6,0.19921875,2.7584987,2.7584987
7,0.0,0.662751,0.662751
8,0.041259766,0.46351847,0.46351847
9,0.040527344,-0.15464512,0.15464512
10,0.17578125,2.0346391,2.0346391
11,-0.10986328,-1.0655485,1.0655485
12,-0.0043945312,0.44430125,0.44430125
13,0.0703125,1.9225432,1.9225432
14,-0.140625,-0.9241165,0.9241165
15,-0.031982422,-0.17118669,0.17118669
16,-0.047607422,-0.45703983,0.45703983
17,-0.10449219,-0.6026083,0.6026083
18,0.14648438,1.9298815,1.9298815
19,-0.13378906,-0.0061997143,0.0061997143
20,-0.018066406,-0.324752,0.324752
21,0.07519531,0.3749056,0.3749056
22,0.00024414062,0.2674385,0.2674385
23,0.080078125,0.9322501,0.9322501
24,0.012817383,-0.50759035,0.50759035
25,0.076171875,-0.19948854,0.19948854
26,-0.18066406,-2.998256,2.998256
27,0.018554688,0.6076973,0.6076973
28,-0.015258789,-0.791827,0.791827
29,-0.1015625,-0.7837455,0.7837455
30,0.118652344,1.1734768,1.1734768
31,0.16308594,0.94678617,0.94678617
32,0.008544922,0.33048713,0.33048713
33,0.14355469,1.2784758,1.2784758
34,-0.140625,-1.3803458,1.3803458
35,-0.12597656,-1.8757969,1.8757969
36,-0.09765625,-1.767704,1.767704
37,0.06298828,1.8376969,1.8376969
38,0.07470703,0.44231904,0.44231904
39,0.016479492,0.26927015,0.26927015
40,0.020019531,0.88588846,0.88588846
41,0.024169922,0.023256551,0.023256551
42,-0.09472656,-1.3522235,1.3522235
43,-0.084472656,-0.9058719,0.9058719
44,0.07910156,0.47408906,0.47408906
45,0.11425781,1.2683569,1.2683569
46,0.13769531,2.50224,2.50224
47,-0.035888672,0.80373937,0.80373937
48,-0.010131836,-0.31660238,0.31660238
49,-0.060546875,-0.122543186,0.122543186
50,0.04638672,1.118455,1.118455
51,0.026733398,0.34437925,0.34437925
52,-0.033691406,-0.10097915,0.10097915
53,0.3359375,0.25279734,0.25279734
54,-0.05517578,-0.3605786,0.3605786
55,0.015625,0.08973846,0.08973846
56,0.15136719,2.0755823,2.0755823
57,0.15625,1.2422175,1.2422175
58,0.203125,2.751965,2.751965
59,0.11279297,0.4169641,0.4169641
60,-0.005859375,-0.454935,0.454935
61,-0.052734375,0.15159626,0.15159626
62,-0.114746094,-1.9507276,1.9507276
63,0.0078125,0.2626333,0.2626333
64,0.057373047,-0.07517802,0.07517802
65,0.0072021484,0.5635823,0.5635823
66,-0.11035156,-2.5603635,2.5603635
67,0.15136719,2.154411,2.154411
68,0.13867188,1.407932,1.407932
69,-0.046142578,-0.5707595,0.5707595
70,-0.032714844,-0.49389052,0.49389052
71,0.087890625,0.687718,0.687718
72,-0.024780273,-0.5900479,0.5900479
73,-0.19238281,-2.5434399,2.5434399
74,-0.04272461,-0.86429375,0.86429375
75,-0.013671875,-0.04745905,0.04745905
76,-0.21289062,-3.3232365,3.3232365
77,-0.008056641,-0.18361399,0.18361399
78,-0.029907227,-0.50053924,0.50053924
79,0.026611328,0.6154676,0.6154676
80,0.07080078,0.50993395,0.50993395
81,0.048339844,1.7225057,1.7225057
82,0.09765625,1.9610456,1.9610456
83,-0.06347656,-0.38283795,0.38283795
84,0.07861328,1.7522262,1.7522262
85,0.2265625,2.2866945,2.2866945
86,0.030639648,-0.5870143,0.5870143
87,-0.056884766,-0.69097185,0.69097185
88,0.19335938,2.2987475,2.2987475
89,-0.03564453,-0.78304374,0.78304374
90,-0.19140625,-1.9767148,1.9767148
91,-0.024902344,-0.5719071,0.5719071
92,-0.16796875,-2.185081,2.185081
93,0.1640625,2.7504342,2.7504342
94,0.13476562,-0.34649387,0.34649387
95,0.017822266,-0.30834585,0.30834585
96,0.09277344,2.0229242,2.0229242
97,0.06591797,1.1391464,1.1391464
98,-0.06640625,-1.2482598,1.2482598
99,0.15722656,1.6955518,1.6955518
100,-0.02734375,0.016223013,0.016223013
101,0.13183594,1.3102015,1.3102015
102,-0.16210938,-1.3687749,1.3687749
103,-0.020507812,-0.48154163,0.48154163
104,-0.5,-0.4460171,0.4460171
105,0.119628906,2.7839553,2.7839553
106,0.21582031,2.0064137,2.0064137
107,-0.0041503906,-0.4568677,0.4568677
108,0.068359375,0.7032287,0.7032287
109,-0.13085938,-1.733617,1.733617
110,-0.068359375,-0.5953547,0.5953547
111,-0.038085938,-0.49736777,0.49736777
112,-0.26953125,-2.3263898,2.3263898
113,0.037353516,0.16432253,0.16432253
114,-0.10107422,-1.7730027,1.7730027
115,0.13476562,1.9225128,1.9225128
116,0.09326172,1.139058,1.139058
117,0.17480469,2.9069562,2.9069562
118,-0.04345703,-1.3684765,1.3684765
119,-0.0029296875,0.6607745,0.6607745
120,-0.171875,-0.82537913,0.82537913
121,-0.04638672,-1.0275786,1.0275786
122,0.06347656,-0.15407693,0.15407693
123,-0.013916016,-1.078985,1.078985
124,0.02734375,0.43934107,0.43934107
125,0.08300781,0.7478721,0.7478721
126,-0.07128906,0.57808036,0.57808036
127,-0.050048828,-0.70519966,0.70519966
128,0.21289062,2.574003,2.574003
129,0.067871094,0.13772134,0.13772134
130,-0.05810547,0.08038572,0.08038572
131,0.10839844,2.0630622,2.0630622
132,0.125,0.7561611,0.7561611
133,0.040283203,0.6761199,0.6761199
134,-0.08154297,-1.7655189,1.7655189
135,0.036132812,0.912927,0.912927
136,-0.07519531,-1.09243,1.09243
137,-0.07519531,-0.72068965,0.72068965
138,-0.044189453,-1.1958811,1.1958811
139,0.19726562,2.4722965,2.4722965
140,0.118652344,1.883268,1.883268
141,0.03881836,0.74162006,0.74162006
142,0.30273438,1.766437,1.766437
143,0.06689453,1.6725078,1.6725078
144,-0.026611328,-0.336469,0.336469
145,-0.21484375,-3.3633766,3.3633766
146,-0.16015625,-1.8188875,1.8188875
147,0.07714844,1.417335,1.417335
148,-0.08105469,-1.0151997,1.0151997
149,-0.018798828,-0.5993432,0.5993432
150,-0.0703125,-0.5206375,0.5206375
151,-0.13574219,-2.7661405,2.7661405
152,0.076660156,1.32371,1.32371
153,0.045410156,-0.1363019,0.1363019
154,-0.09765625,-0.9831738,0.9831738
155,-0.15039062,-0.1710313,0.1710313
156,0.026367188,0.29658297,0.29658297
157,-0.15820312,-1.7623669,1.7623669
158,0.025390625,-1.0023949,1.0023949
159,-0.0078125,0.013987971,0.013987971
160,0.078125,1.3725816,1.3725816
161,-0.031982422,-0.759469,0.759469
162,0.08544922,0.99538445,0.99538445
163,-0.031982422,-0.10432363,0.10432363
164,-0.07861328,-1.8995306,1.8995306
165,0.04248047,0.38394013,0.38394013
166,-0.0073242188,0.2771136,0.2771136
167,0.08105469,1.8180013,1.8180013
168,0.05078125,0.7536956,0.7536956
169,-0.030761719,0.31975305,0.31975305
