dimension_index,raw_activation,standardized_activation,absolute_standardized_activation
0,0.048828125,1.1007237,1.1007237
1,-0.009521484,0.19218452,0.19218452
2,-0.14355469,-1.7979442,1.7979442
3,0.084472656,0.24256073,0.24256073
4,0.056152344,1.2274489,1.2274489
5,0.041748047,-0.029966792,0.029966792
6,0.00023174286,-0.40989044,0.40989044
7,0.09667969,1.0481008,1.0481008
8,-0.0062561035,-0.4399894,0.4399894
9,0.0021209717,-0.18295246,0.18295246
10,0.022949219,0.12728924,0.12728924
11,-0.020263672,-0.79440415,0.79440415
12,0.030273438,-0.14438601,0.14438601
13,0.16992188,3.1636734,3.1636734
14,0.00090408325,0.50747705,0.50747705
15,-0.04345703,-0.8307086,0.8307086
16,0.0625,0.6085349,0.6085349
17,-0.016845703,0.94815093,0.94815093
18,0.115234375,1.0040567,1.0040567
19,0.0009613037,0.09839218,0.09839218
20,0.010864258,0.0132257305,0.0132257305
21,0.038330078,0.5646317,0.5646317
22,0.024780273,0.7799642,0.7799642
23,0.029663086,1.4287941,1.4287941
24,0.017456055,0.5824293,0.5824293
25,0.031982422,-0.45418555,0.45418555
26,-0.05810547,-0.5184308,0.5184308
27,0.0012359619,0.5905996,0.5905996
28,-0.015136719,-0.20351852,0.20351852
29,-0.0045776367,-0.3730482,0.3730482
30,0.114746094,1.2525342,1.2525342
31,0.22265625,2.4311717,2.4311717
32,-0.084472656,-2.0491686,2.0491686
33,-0.06201172,-0.4726561,0.4726561
34,0.14160156,1.9515702,1.9515702
35,0.05419922,0.37733024,0.37733024
36,0.11767578,1.3828626,1.3828626
37,0.044189453,0.32752296,0.32752296
38,-0.031982422,-0.24860358,0.24860358
39,0.017700195,-0.23897266,0.23897266
40,0.18652344,1.0415292,1.0415292
41,0.0023651123,-0.06904552,0.06904552
42,0.03857422,0.11505106,0.11505106
43,-0.39453125,-7.230224,7.230224
44,-0.076171875,-1.9098636,1.9098636
45,0.009887695,-0.015420198,0.015420198
46,-0.0859375,-1.4527819,1.4527819
47,-0.15527344,-1.3458941,1.3458941
48,4.1007996e-05,0.40738034,0.40738034
49,0.09472656,2.2783055,2.2783055
50,-0.076171875,-0.61211383,0.61211383
51,0.11767578,1.1855977,1.1855977
52,0.06640625,1.6399895,1.6399895
53,0.12451172,2.3805788,2.3805788
54,0.119628906,1.259164,1.259164
55,-0.044433594,-0.72282666,0.72282666
56,0.003036499,0.2613746,0.2613746
57,0.020996094,0.51712376,0.51712376
58,0.004760742,-0.23230433,0.23230433
59,-0.010864258,-0.07280566,0.07280566
60,-0.1171875,-0.5320264,0.5320264
61,0.079589844,1.2128855,1.2128855
62,-0.09667969,-0.8941244,0.8941244
63,0.068847656,1.2741947,1.2741947
64,-0.061767578,0.36523426,0.36523426
65,0.022460938,0.75872177,0.75872177
66,-0.049560547,-1.0408771,1.0408771
67,0.041748047,0.12770768,0.12770768
68,-0.0074768066,-0.3413749,0.3413749
69,0.11279297,0.5829786,0.5829786
70,-0.023803711,-0.998418,0.998418
71,-0.36914062,-3.4069023,3.4069023
72,-0.012084961,-0.6551286,0.6551286
73,0.14355469,1.5921675,1.5921675
74,-0.12011719,-0.7791318,0.7791318
75,-0.0050964355,-0.2743719,0.2743719
76,0.035888672,0.62939125,0.62939125
77,0.050048828,0.19544612,0.19544612
78,0.17480469,0.6279591,0.6279591
79,0.0015563965,0.053556655,0.053556655
80,0.028686523,0.34014663,0.34014663
81,0.040283203,-0.00606321,0.00606321
82,0.067871094,0.29994592,0.29994592
83,-0.036132812,-0.4655103,0.4655103
84,-0.19921875,-2.734158,2.734158
85,0.13183594,1.9503182,1.9503182
86,0.072753906,0.54277635,0.54277635
87,0.003692627,-0.10489186,0.10489186
88,-0.020141602,-1.0594519,1.0594519
89,-0.076171875,-1.9850554,1.9850554
90,0.009765625,0.23526268,0.23526268
91,-0.004486084,-0.27359757,0.27359757
92,-0.018188477,-0.45624462,0.45624462
93,0.060058594,0.7444993,0.7444993
94,0.03125,0.94339603,0.94339603
95,0.042236328,0.7544469,0.7544469
96,0.106933594,1.3048823,1.3048823
97,-0.1015625,-1.3465409,1.3465409
98,2.5629997e-05,0.96383923,0.96383923
99,-0.002960205,0.26516536,0.26516536
100,-0.07128906,-0.7064985,0.7064985
101,0.064941406,0.4086171,0.4086171
102,-0.072753906,-1.3195531,1.3195531
103,0.028930664,1.5106882,1.5106882
104,-0.28515625,-0.1951966,0.1951966
105,0.053955078,0.90527934,0.90527934
106,-0.047851562,0.32655048,0.32655048
107,0.08984375,1.4053736,1.4053736
108,0.1484375,1.3637195,1.3637195
109,0.0022583008,-0.30711237,0.30711237
110,0.015197754,0.18205856,0.18205856
111,0.125,1.0203406,1.0203406
112,-0.012512207,-0.22794713,0.22794713
113,0.0006790161,0.118450865,0.118450865
114,0.0011520386,-0.13952748,0.13952748
115,-0.11035156,-1.5997145,1.5997145
116,-0.078125,-0.5469954,0.5469954
117,-0.072753906,-0.9104848,0.9104848
118,0.037841797,0.9055198,0.9055198
119,-0.050048828,-0.3962187,0.3962187
120,-0.008483887,-0.5263905,0.5263905
121,0.03930664,1.093497,1.093497
122,-0.013671875,-0.5590845,0.5590845
123,-0.018554688,-0.26144713,0.26144713
124,0.0053100586,0.30196956,0.30196956
125,-0.106933594,-1.1373614,1.1373614
126,-0.067871094,-1.208656,1.208656
127,0.0079956055,-0.12266686,0.12266686
128,0.007873535,0.12858737,0.12858737
129,-0.026000977,0.044484608,0.044484608
130,0.005584717,1.1533201,1.1533201
131,0.119628906,0.92962945,0.92962945
132,0.059326172,1.1300272,1.1300272
133,0.004638672,-0.03968907,0.03968907
134,-0.34375,-3.883844,3.883844
135,0.100097656,0.9419239,0.9419239
136,0.091796875,2.2701008,2.2701008
137,-0.016967773,-0.2860793,0.2860793
138,0.06347656,1.8034651,1.8034651
139,0.037353516,-0.12930408,0.12930408
140,0.07421875,0.036894068,0.036894068
141,-0.017700195,-0.34734946,0.34734946
142,-0.5703125,-11.014654,11.014654
143,0.028808594,0.8304175,0.8304175
144,-0.04296875,-0.249949,0.249949
145,0.01977539,0.3025559,0.3025559
146,0.050048828,0.8525839,0.8525839
147,0.061279297,1.0554972,1.0554972
148,-0.042236328,-0.7262144,0.7262144
149,-0.0014419556,-0.24017285,0.24017285
150,-0.06591797,-1.346439,1.346439
151,-0.068847656,-1.7577581,1.7577581
152,-0.16699219,-2.535908,2.535908
153,0.051757812,0.2790084,0.2790084
154,-0.08935547,-1.0295211,1.0295211
155,-0.0390625,0.010340978,0.010340978
156,0.0625,0.5939861,0.5939861
157,-0.1640625,-1.6423683,1.6423683
158,-0.13085938,-1.0088596,1.0088596
