dimension_index,raw_activation,standardized_activation,absolute_standardized_activation
0,-0.002319336,0.09211235,0.09211235
1,-0.010131836,-0.8909167,0.8909167
2,-0.05834961,-0.98153985,0.98153985
3,0.068359375,1.3034332,1.3034332
4,-0.03149414,-0.608553,0.608553
5,0.099609375,1.7137319,1.7137319
6,0.020019531,-0.027024835,0.027024835
7,-0.045898438,0.005136704,0.005136704
8,0.030883789,0.2980585,0.2980585
9,0.01928711,-0.5038141,0.5038141
10,0.028808594,0.27650514,0.27650514
11,-0.118652344,-1.1762991,1.1762991
12,-0.020263672,0.19200225,0.19200225
13,0.018066406,1.1185797,1.1185797
14,-0.04272461,0.26563644,0.26563644
15,0.013183594,0.47751775,0.47751775
16,0.028320312,0.70097435,0.70097435
17,-0.08300781,-0.39137,0.39137
18,-0.08886719,-1.6796017,1.6796017
19,-0.07080078,0.40341341,0.40341341
20,-0.0008544922,-0.08006652,0.08006652
21,0.02319336,-0.25231442,0.25231442
22,-0.12207031,-0.99413323,0.99413323
23,0.027709961,0.2976592,0.2976592
24,0.053222656,0.021043776,0.021043776
25,0.017578125,-0.968624,0.968624
26,0.035888672,-0.11210821,0.11210821
27,-0.11621094,-1.4234282,1.4234282
28,-0.0020751953,-0.59644026,0.59644026
29,-0.06347656,-0.29900748,0.29900748
30,0.11816406,1.1671319,1.1671319
31,0.10107422,0.15729263,0.15729263
32,-0.046142578,-0.5809686,0.5809686
33,0.059326172,0.15241924,0.15241924
34,0.043945312,1.0571116,1.0571116
35,-0.060058594,-0.89295626,0.89295626
36,0.114746094,1.127917,1.127917
37,-0.0037841797,0.8837128,0.8837128
38,0.05810547,0.24793772,0.24793772
39,0.12890625,2.0584543,2.0584543
40,-0.03100586,0.07188379,0.07188379
41,0.009033203,-0.17636482,0.17636482
42,-0.1171875,-1.7368326,1.7368326
43,-0.23242188,-1.9325627,1.9325627
44,-0.060058594,-1.5644073,1.5644073
45,0.044433594,0.3692035,0.3692035
46,-0.033691406,0.061938085,0.061938085
47,-0.11230469,-0.35466018,0.35466018
48,0.12988281,1.4591033,1.4591033
49,0.016845703,0.87132883,0.87132883
50,-0.06347656,-0.6360113,0.6360113
51,-0.06982422,-0.95202684,0.95202684
52,-0.0546875,-0.41033122,0.41033122
53,0.40820312,0.7114394,0.7114394
54,-0.11376953,-1.199816,1.199816
55,-0.083496094,-1.6663934,1.6663934
56,-0.0126953125,0.060175307,0.060175307
57,0.08203125,0.18293771,0.18293771
58,0.099609375,1.2767088,1.2767088
59,0.007019043,-0.4705354,0.4705354
60,-0.057861328,-1.0985795,1.0985795
61,0.05810547,1.7962105,1.7962105
62,0.06933594,0.69480145,0.69480145
63,-0.013305664,0.0040969127,0.0040969127
64,0.05029297,-0.18290246,0.18290246
65,-0.011108398,0.29545084,0.29545084
66,0.09375,0.6515888,0.6515888
67,-0.056884766,-0.6430663,0.6430663
68,0.02758789,-0.35378888,0.35378888
69,0.04321289,0.41031703,0.41031703
70,-0.010986328,-0.15204155,0.15204155
71,-0.0859375,-1.5134895,1.5134895
72,0.026367188,0.120914094,0.120914094
73,-0.09472656,-1.0411242,1.0411242
74,0.14941406,1.7865937,1.7865937
75,0.07421875,1.0304408,1.0304408
76,-0.040527344,-0.53570485,0.53570485
77,-0.04272461,-0.6257816,0.6257816
78,-0.004272461,-0.23439868,0.23439868
79,-0.022216797,0.008841098,0.008841098
80,0.09033203,0.78237563,0.78237563
81,0.05126953,1.7697843,1.7697843
82,-0.0065612793,0.27930126,0.27930126
83,0.05517578,1.0406731,1.0406731
84,0.008666992,0.68037826,0.68037826
85,-0.08203125,-0.5647758,0.5647758
86,0.0021972656,-1.0243602,1.0243602
87,-0.01953125,-0.14597988,0.14597988
88,0.009277344,-0.021174202,0.021174202
89,0.05859375,0.7280467,0.7280467
90,-0.11230469,-0.9760402,0.9760402
91,0.0063476562,-0.28083703,0.28083703
92,0.04296875,0.72332406,0.72332406
93,-0.010864258,-0.07447115,0.07447115
94,-0.13183594,-2.577706,2.577706
95,0.049804688,-0.011379592,0.011379592
96,0.08496094,1.9067391,1.9067391
97,0.087890625,1.4181504,1.4181504
98,-0.18359375,-3.1110823,3.1110823
99,0.05493164,0.29876268,0.29876268
100,-0.036865234,-0.10141218,0.10141218
101,0.041992188,-0.042510696,0.042510696
102,-0.018798828,0.578469,0.578469
103,0.034423828,0.29977545,0.29977545
104,-0.5,-0.4460171,0.4460171
105,0.071777344,1.9661641,1.9661641
106,0.03125,0.22690208,0.22690208
107,-0.064941406,-1.5012099,1.5012099
108,-0.020874023,-0.7562731,0.7562731
109,-0.016357422,-0.2128022,0.2128022
110,-0.095703125,-0.97332674,0.97332674
111,-0.07128906,-1.0069736,1.0069736
112,-0.18164062,-1.3277204,1.3277204
113,0.025634766,0.0077827787,0.0077827787
114,0.068359375,1.0086551,1.0086551
115,0.06738281,0.91584224,0.91584224
116,0.07519531,0.9037419,0.9037419
117,-0.06542969,-0.61546606,0.61546606
118,-0.01965332,-1.0597298,1.0597298
119,-0.08203125,-0.19193609,0.19193609
120,-0.23046875,-1.7439966,1.7439966
121,-0.024047852,-0.676445,0.676445
122,0.00592041,-1.0430186,1.0430186
123,0.013916016,-0.6707764,0.6707764
124,-0.053710938,-0.41438857,0.41438857
125,-0.059326172,-0.36345232,0.36345232
