dimension_index,raw_activation,standardized_activation,absolute_standardized_activation
0,0.016479492,0.54129237,0.54129237
1,-0.06347656,-0.6958942,0.6958942
2,-0.083984375,-0.974657,0.974657
3,0.059326172,0.029961076,0.029961076
4,0.096191406,2.083947,2.083947
5,-0.07910156,-1.5525731,1.5525731
6,0.0008239746,-0.40001795,0.40001795
7,0.25,2.9458826,2.9458826
8,0.015625,-0.118737265,0.118737265
9,0.11621094,1.3204373,1.3204373
10,-0.004058838,-0.36505216,0.36505216
11,0.0013961792,-0.33100468,0.33100468
12,-0.053710938,-1.1879051,1.1879051
13,0.005554199,0.62108594,0.62108594
14,0.123535156,2.8322542,2.8322542
15,-0.029541016,-0.5871418,0.5871418
16,0.022094727,0.04922659,0.04922659
17,-0.26757812,-3.147746,3.147746
18,0.13476562,1.234178,1.234178
19,0.14453125,2.8939707,2.8939707
20,0.026611328,0.19463056,0.19463056
21,-0.021240234,-0.2794996,0.2794996
22,-0.28515625,-1.813929,1.813929
23,0.024047852,1.3358024,1.3358024
24,0.00579834,0.38940215,0.38940215
25,0.13671875,0.9090344,0.9090344
26,0.021728516,1.2855351,1.2855351
27,-0.087402344,-0.58045113,0.58045113
28,0.016601562,0.22502375,0.22502375
29,-0.03173828,-0.98513865,0.98513865
30,0.075683594,0.7996333,0.7996333
31,0.203125,2.1687114,2.1687114
32,0.0390625,0.088256635,0.088256635
33,0.00289917,-0.15890437,0.15890437
34,-0.007171631,0.28559017,0.28559017
35,0.104003906,1.2296363,1.2296363
36,0.092285156,1.0521976,1.0521976
37,0.033447266,0.16849418,0.16849418
38,-0.0062561035,0.18308702,0.18308702
39,0.061767578,0.50037515,0.50037515
40,0.17089844,0.66862565,0.66862565
41,-0.008666992,-0.2590803,0.2590803
42,0.15722656,1.2434837,1.2434837
43,-0.05859375,-1.1995351,1.1995351
44,0.024658203,0.8995409,0.8995409
45,0.036376953,0.49234334,0.49234334
46,0.0027313232,-0.2801051,0.2801051
47,-0.07324219,-0.51274043,0.51274043
48,-0.008239746,0.26671135,0.26671135
49,-0.014343262,0.47376534,0.47376534
50,-0.18359375,-2.1054,2.1054
51,-0.026367188,-0.48547208,0.48547208
52,-0.07910156,-0.95803344,0.95803344
53,0.06640625,1.372123,1.372123
54,0.046875,0.028052954,0.028052954
55,-0.005554199,0.0023574408,0.0023574408
56,-0.12158203,-2.1221218,2.1221218
57,-0.016235352,-0.05511096,0.05511096
58,-0.008117676,-0.35442582,0.35442582
59,0.03564453,0.65781766,0.65781766
60,-0.09814453,-0.3289262,0.3289262
61,-0.19335938,-2.9370906,2.9370906
62,-0.00049972534,-0.36194077,0.36194077
63,-0.041259766,-0.77450746,0.77450746
64,-0.053222656,0.41845974,0.41845974
65,0.11816406,2.3224785,2.3224785
66,-0.0024414062,-0.18790069,0.18790069
67,-0.007751465,-0.17801502,0.17801502
68,-0.044189453,-1.0750134,1.0750134
69,-0.11376953,-0.9427944,0.9427944
70,0.033203125,0.3847186,0.3847186
71,-0.12988281,-1.1999398,1.1999398
72,0.06591797,0.46320018,0.46320018
73,0.031982422,-0.037287317,0.037287317
74,-0.056640625,-0.34516832,0.34516832
75,-0.08642578,-1.3244122,1.3244122
76,-0.045410156,-0.86939263,0.86939263
77,0.09423828,0.81257635,0.81257635
78,0.18652344,0.7781369,0.7781369
79,-0.009338379,-0.1605226,0.1605226
80,0.04321289,0.6722736,0.6722736
81,-0.0859375,-1.023478,1.023478
82,0.05078125,0.10596541,0.10596541
83,-0.1796875,-2.966731,2.966731
84,-0.0146484375,0.24628763,0.24628763
85,-0.0053710938,-0.31811553,0.31811553
86,0.084472656,0.67477745,0.67477745
87,0.0015640259,-0.1527709,0.1527709
88,0.049560547,-0.18150565,0.18150565
89,0.012573242,-0.77048993,0.77048993
90,0.0010299683,-0.016834915,0.016834915
91,0.048828125,0.4749365,0.4749365
92,-0.026489258,-0.651343,0.651343
93,-0.05810547,-1.3606001,1.3606001
94,-0.018310547,-0.11783163,0.11783163
95,-0.02331543,-0.69231457,0.69231457
96,-0.057373047,-0.5887809,0.5887809
97,-0.012512207,-0.14409414,0.14409414
98,-0.08154297,-0.6485029,0.6485029
99,-0.040771484,-0.5089243,0.5089243
100,-0.027832031,0.107132524,0.107132524
101,0.07519531,0.62000877,0.62000877
102,0.19628906,3.547404,3.547404
103,-0.03149414,0.41216537,0.41216537
104,-0.04663086,0.48464683,0.48464683
105,0.06347656,1.0698296,1.0698296
106,0.15429688,1.9959983,1.9959983
107,0.3203125,4.381551,4.381551
108,0.26953125,2.4627562,2.4627562
109,0.068847656,0.74075973,0.74075973
110,0.002532959,0.018988945,0.018988945
111,0.08691406,0.6190013,0.6190013
112,-0.043945312,-0.7146323,0.7146323
113,0.027709961,0.6866773,0.6866773
114,0.025268555,0.28588477,0.28588477
115,-0.003189087,0.26586694,0.26586694
116,0.004058838,0.13465653,0.13465653
117,-0.123046875,-1.7677457,1.7677457
118,-0.0033416748,0.18754719,0.18754719
119,-0.007446289,0.14035705,0.14035705
120,0.109375,0.1275577,0.1275577
121,0.0032958984,0.8183332,0.8183332
122,-0.08203125,-1.5400321,1.5400321
123,0.16210938,2.7511106,2.7511106
124,-0.028930664,-0.6009765,0.6009765
125,-0.09033203,-0.90843594,0.90843594
126,0.014770508,-0.018733079,0.018733079
127,0.032958984,0.33362412,0.33362412
128,0.0072021484,0.115530305,0.115530305
129,0.042236328,0.8551857,0.8551857
130,-0.123535156,-0.13203818,0.13203818
131,-0.1328125,-1.8030074,1.8030074
132,0.04296875,0.9057712,0.9057712
133,3.71933e-05,-0.14375937,0.14375937
134,-0.000957489,0.4023528,0.4023528
135,-0.03955078,-0.9843834,0.9843834
136,-0.035888672,-0.31341317,0.31341317
137,-0.00340271,0.011774012,0.011774012
138,-0.028930664,0.09391938,0.09391938
139,-0.10498047,-1.1244696,1.1244696
140,0.123535156,0.4843208,0.4843208
141,-0.017944336,-0.35370648,0.35370648
142,-0.057128906,-1.7739716,1.7739716
143,0.029785156,0.8464113,0.8464113
144,0.024414062,0.91112965,0.91112965
145,-0.30273438,-2.4986894,2.4986894
146,-0.006713867,0.15460344,0.15460344
147,-0.0062561035,0.11621624,0.11621624
148,-0.0037078857,-0.09897249,0.09897249
149,0.008544922,-0.04730992,0.04730992
150,-0.0003414154,-0.32788703,0.32788703
151,0.03173828,0.2966922,0.2966922
152,0.111328125,1.7673941,1.7673941
153,-0.014282227,-0.968726,0.968726
154,-0.03173828,-0.2612708,0.2612708
155,0.028808594,0.7468372,0.7468372
156,0.16601562,1.4341772,1.4341772
157,-0.012084961,0.17952819,0.17952819
158,-0.064453125,-0.45388436,0.45388436
159,0.007019043,-0.14782216,0.14782216
160,-0.029785156,-0.72104174,0.72104174
161,0.049072266,1.2353647,1.2353647
162,-0.022583008,-0.3406449,0.3406449
163,0.0061950684,0.028277382,0.028277382
164,-0.08496094,-0.91194004,0.91194004
165,0.013977051,0.76853836,0.76853836
166,0.34179688,4.2735214,4.2735214
167,-0.11425781,-0.69859785,0.69859785
168,0.12011719,2.315016,2.315016
169,0.052734375,0.8385665,0.8385665
170,-0.01940918,-0.27809036,0.27809036
171,0.005584717,-0.5556347,0.5556347
172,0.0031738281,0.45250374,0.45250374
173,0.022216797,0.70939946,0.70939946
174,0.050048828,1.1091073,1.1091073
175,-0.051757812,-0.25589755,0.25589755
176,-0.16894531,0.20210072,0.20210072
177,-0.034179688,0.026065793,0.026065793
178,0.0024719238,0.8186796,0.8186796
179,0.016479492,-0.24270372,0.24270372
180,-0.040283203,0.10843706,0.10843706
181,0.0079956055,0.62712884,0.62712884
182,-0.084472656,-1.0934948,1.0934948
183,0.045166016,0.9497105,0.9497105
184,0.18261719,3.652788,3.652788
185,0.020751953,0.69858825,0.69858825
186,0.11767578,1.6965472,1.6965472
187,0.025390625,0.73654073,0.73654073
188,0.03930664,0.51905847,0.51905847
189,-0.016967773,-0.5988022,0.5988022
190,-0.03955078,-0.1667842,0.1667842
191,-0.042236328,-0.8398284,0.8398284
192,0.024780273,0.2447601,0.2447601
193,-0.032714844,-0.43859917,0.43859917
194,0.05126953,1.3261064,1.3261064
195,0.0072021484,0.48024938,0.48024938
196,-0.042236328,-0.9768047,0.9768047
197,0.012573242,0.19746861,0.19746861
198,0.024169922,-0.053023458,0.053023458
199,0.016479492,0.20203829,0.20203829
200,-0.09765625,-1.3456618,1.3456618
201,-0.03173828,0.19588272,0.19588272
202,0.08544922,0.7350392,0.7350392
203,0.0079956055,0.51300824,0.51300824
204,-0.16796875,-1.1082003,1.1082003
205,0.09326172,1.3020045,1.3020045
206,-0.03881836,-0.6617729,0.6617729
207,-0.0018692017,0.22657445,0.22657445
208,-0.06933594,-0.5636543,0.5636543
209,0.011352539,1.0420469,1.0420469
210,0.03466797,0.0054505104,0.0054505104
211,-0.044921875,-0.6053125,0.6053125
212,-0.0028533936,-0.50731385,0.50731385
213,-0.067871094,-2.1392968,2.1392968
214,0.031982422,0.79243106,0.79243106
215,0.00063705444,0.32730582,0.32730582
216,0.01550293,0.08811585,0.08811585
217,-0.04272461,-0.8289829,0.8289829
218,-0.078125,-1.3748788,1.3748788
219,-0.09326172,-1.7344203,1.7344203
220,0.07128906,0.71611005,0.71611005
221,-0.0017471313,0.3747529,0.3747529
222,-0.03930664,0.019146835,0.019146835
223,0.07373047,2.0943367,2.0943367
224,-0.012878418,0.018061455,0.018061455
225,0.12158203,1.7495701,1.7495701
226,-0.010131836,0.56122845,0.56122845
227,0.035888672,0.83668715,0.83668715
228,0.0020446777,0.20616564,0.20616564
229,0.021972656,0.69209796,0.69209796
230,0.16601562,1.5109923,1.5109923
231,-0.037597656,-0.18960066,0.18960066
232,0.0076904297,-0.16706082,0.16706082
233,0.00021457672,0.15313376,0.15313376
234,0.03173828,0.541931,0.541931
235,0.0045776367,-0.042005833,0.042005833
236,-0.014038086,-0.45122173,0.45122173
237,0.059326172,0.9990637,0.9990637
238,0.068847656,1.8094299,1.8094299
239,-0.016723633,0.5981727,0.5981727
240,0.032226562,-0.062518045,0.062518045
241,0.07714844,1.1979573,1.1979573
242,-0.036865234,-0.9949001,0.9949001
243,-0.20800781,-2.43288,2.43288
244,-0.0025177002,0.055693846,0.055693846
245,0.023803711,0.9469843,0.9469843
246,0.0049743652,0.13923986,0.13923986
247,0.021118164,-0.052656066,0.052656066
248,0.00048828125,-0.018439917,0.018439917
249,-0.015991211,-0.37684,0.37684
250,-0.061767578,-0.78882796,0.78882796
251,-0.04345703,-0.31096584,0.31096584
252,-0.015075684,-0.31930256,0.31930256
253,-0.017089844,-0.40667278,0.40667278
254,-0.036376953,-0.49606597,0.49606597
255,0.049804688,0.60898864,0.60898864
256,-0.0019302368,-0.13589633,0.13589633
257,0.0043945312,0.45589387,0.45589387
258,0.052001953,0.9168127,0.9168127
259,0.07470703,0.24613538,0.24613538
260,0.0002708435,-0.009815125,0.009815125
261,-0.0005340576,0.008382197,0.008382197
262,2.336502e-05,-0.10749061,0.10749061
263,0.034423828,0.3691232,0.3691232
264,-0.19628906,-1.4036083,1.4036083
265,-0.115722656,-2.275371,2.275371
266,0.0065612793,0.2696805,0.2696805
267,0.0012741089,-0.68977857,0.68977857
268,-0.05883789,-1.2828264,1.2828264
269,0.024169922,0.53779143,0.53779143
270,-0.13378906,-1.2730935,1.2730935
271,-0.04663086,-0.5786098,0.5786098
272,0.13085938,3.45043,3.45043
273,-0.0017166138,0.117017314,0.117017314
274,0.024902344,0.23330493,0.23330493
275,0.103515625,1.2716876,1.2716876
276,0.036865234,0.55762136,0.55762136
277,0.055419922,1.2917695,1.2917695
278,-0.0043029785,0.6868118,0.6868118
279,0.00074768066,0.8590408,0.8590408
280,-0.080566406,-1.0525693,1.0525693
281,0.10058594,1.1479082,1.1479082
282,-0.088378906,-0.8555484,0.8555484
283,-0.03515625,-0.4260582,0.4260582
284,-0.096191406,-0.9016968,0.9016968
285,0.021484375,0.14458612,0.14458612
286,-0.024536133,-0.57943946,0.57943946
287,-0.0061035156,-0.07158961,0.07158961
288,0.00078582764,0.4763474,0.4763474
289,0.015075684,-0.06844413,0.06844413
290,0.055664062,1.113635,1.113635
291,-0.044433594,0.09157006,0.09157006
292,-0.032714844,-0.87279105,0.87279105
293,0.001083374,-0.24082634,0.24082634
294,-0.03955078,-0.59852207,0.59852207
295,0.0070495605,0.33376515,0.33376515
296,0.013244629,0.65046424,0.65046424
297,-0.012084961,-0.97650176,0.97650176
298,0.001159668,0.31318206,0.31318206
299,-0.08642578,-1.292155,1.292155
300,0.40039062,10.473782,10.473782
301,-0.018188477,-0.76335937,0.76335937
302,0.033447266,0.26762298,0.26762298
303,0.052978516,0.772313,0.772313
304,-0.0005722046,-0.27850106,0.27850106
305,-0.00026893616,-0.015967522,0.015967522
306,0.0011520386,-0.123643406,0.123643406
307,-0.14160156,0.34202677,0.34202677
308,-0.04296875,0.15373254,0.15373254
309,-0.0012130737,-0.09494972,0.09494972
310,-0.0020599365,-0.057030465,0.057030465
311,0.071777344,0.704557,0.704557
312,0.025878906,0.7824175,0.7824175
313,-0.15820312,-1.604003,1.604003
314,-0.033935547,-1.0289772,1.0289772
315,0.013549805,-0.0665417,0.0665417
316,-0.014709473,-0.19147356,0.19147356
317,-0.021362305,-0.40742117,0.40742117
318,-0.19238281,-1.79007,1.79007
319,0.022338867,0.8637896,0.8637896
320,0.11230469,0.389066,0.389066
