dimension_index,raw_activation,standardized_activation,absolute_standardized_activation
0,0.09082031,1.5204526,1.5204526
1,0.19140625,3.0054562,3.0054562
2,0.08984375,1.5838027,1.5838027
3,-0.026367188,-0.3654431,0.3654431
4,-0.0703125,-1.21057,1.21057
5,-0.13476562,-1.8677235,1.8677235
6,0.09667969,1.1646024,1.1646024
7,-0.09375,-0.68046117,0.68046117
8,0.12695312,1.830023,1.830023
9,-0.022705078,-1.1941253,1.1941253
10,0.037841797,0.38456318,0.38456318
11,-0.0021972656,0.2911456,0.2911456
12,0.25390625,4.5509524,4.5509524
13,0.083984375,2.1329262,2.1329262
14,-0.1484375,-1.0190594,1.0190594
15,0.018310547,0.55115443,0.55115443
16,0.13574219,2.3393223,2.3393223
17,-0.23828125,-1.9180472,1.9180472
18,-0.01574707,-0.5581907,0.5581907
19,-0.13183594,0.0065014684,0.0065014684
20,-0.064453125,-0.98418796,0.98418796
21,0.061035156,0.20411329,0.20411329
22,-0.030395508,-0.04858396,0.04858396
23,-0.036376953,-0.47893807,0.47893807
24,-0.033691406,-1.1160785,1.1160785
25,0.107910156,0.21712649,0.21712649
26,-0.17382812,-2.9071486,2.9071486
27,-0.09667969,-1.1290622,1.1290622
28,-0.07470703,-1.6728766,1.6728766
29,-0.16601562,-1.6040714,1.6040714
30,-0.0008544922,-0.37943062,0.37943062
31,0.056152344,-0.41462395,0.41462395
32,0.050048828,1.0222169,1.0222169
33,0.18066406,1.7745935,1.7745935
34,-0.099609375,-0.8386886,0.8386886
35,-0.024047852,-0.356034,0.356034
36,0.16308594,1.7869205,1.7869205
37,-0.017578125,0.6866375,0.6866375
38,-0.087890625,-1.4614744,1.4614744
39,-0.11035156,-1.7491473,1.7491473
40,-0.087402344,-0.8278056,0.8278056
41,0.060791016,0.5062115,0.5062115
42,-0.011230469,0.07751893,0.07751893
43,-0.17578125,-1.5395062,1.5395062
44,-0.051513672,-1.4392365,1.4392365
45,0.01953125,0.048526414,0.048526414
46,-0.00048828125,0.5347031,0.5347031
47,-0.03955078,0.74822503,0.74822503
48,-0.009155273,-0.30421734,0.30421734
49,-0.10107422,-0.6429935,0.6429935
50,-0.007659912,0.25535503,0.25535503
51,0.06298828,0.8311462,0.8311462
52,0.095703125,1.805493,1.805493
53,0.21484375,-0.5157379,0.5157379
54,-0.125,-1.3606697,1.3606697
55,-0.053710938,-1.1386887,1.1386887
56,-0.055419922,-0.46467027,0.46467027
57,-0.052978516,-1.743976,1.743976
58,-0.055908203,-0.93965495,0.93965495
59,0.08886719,0.21621408,0.21621408
60,-0.13769531,-2.0867097,2.0867097
61,-0.0072021484,0.8271922,0.8271922
62,0.12060547,1.4316199,1.4316199
63,-0.072753906,-0.72369045,0.72369045
64,0.023925781,-0.58408314,0.58408314
65,-0.12695312,-1.4009278,1.4009278
66,-0.08154297,-2.1070018,2.1070018
67,0.17675781,2.4954867,2.4954867
68,0.047851562,-0.032420013,0.032420013
69,0.14746094,1.5549062,1.5549062
70,-0.11230469,-1.7460564,1.7460564
71,-0.01953125,-0.67257875,0.67257875
72,0.036621094,0.26344585,0.26344585
73,-0.17773438,-2.3180923,2.3180923
74,0.06933594,0.6817765,0.6817765
75,-0.032470703,-0.27800986,0.27800986
76,-0.111328125,-1.680725,1.680725
77,0.0052490234,-0.013908821,0.013908821
78,-0.024658203,-0.4460438,0.4460438
79,-0.029296875,-0.07911975,0.07911975
80,0.07763672,0.6052885,0.6052885
81,-0.044433594,0.22535007,0.22535007
82,0.0126953125,0.5900423,0.5900423
83,-0.0078125,0.2849821,0.2849821
84,-0.0031738281,0.49893108,0.49893108
85,-0.125,-0.961816,0.961816
86,-0.07763672,-2.251932,2.251932
87,0.06591797,1.1007336,1.1007336
88,0.1796875,2.1264458,2.1264458
89,0.01977539,0.10560268,0.10560268
90,-0.061035156,-0.3274547,0.3274547
91,0.0087890625,-0.25809717,0.25809717
92,-0.057861328,-0.6669205,0.6669205
93,-0.115234375,-1.759952,1.759952
94,-0.17480469,-2.9373152,2.9373152
95,0.029052734,-0.20406762,0.20406762
96,0.107421875,2.240771,2.240771
97,-0.055419922,-0.40157592,0.40157592
98,-0.076660156,-1.4112568,1.4112568
99,-0.11279297,-1.9914378,1.9914378
100,-0.12988281,-1.2506175,1.2506175
101,0.15820312,1.7071933,1.7071933
102,-0.037109375,0.3296729,0.3296729
103,0.15234375,1.9770029,1.9770029
104,-0.43359375,-0.0476415,0.0476415
105,0.078125,2.0746467,2.0746467
106,0.08203125,0.71650314,0.71650314
107,-0.014282227,-0.6309247,0.6309247
108,-0.022583008,-0.7842252,0.7842252
109,-0.029541016,-0.38790667,0.38790667
110,0.014038086,0.5436236,0.5436236
111,0.026000977,0.48624644,0.48624644
112,-0.2578125,-2.1932337,2.1932337
113,-0.19824219,-2.9827785,2.9827785
114,-0.012207031,-0.31403527,0.31403527
115,0.17285156,2.4915004,2.4915004
116,0.034423828,0.37269065,0.37269065
117,0.0061035156,0.4333853,0.4333853
118,0.12890625,0.86716646,0.86716646
119,0.08203125,1.5766488,1.5766488
120,-0.16894531,-0.7794483,0.7794483
121,-0.01159668,-0.48073122,0.48073122
122,0.028808594,-0.6895158,0.6895158
123,0.1171875,0.8438918,0.8438918
124,0.07128906,0.9022066,0.9022066
