dimension_index,raw_activation,standardized_activation,absolute_standardized_activation
0,0.0031738281,0.3111866,0.3111866
1,-0.045654297,-0.4025469,0.4025469
2,-0.08251953,-0.9544122,0.9544122
3,0.12890625,0.61822224,0.61822224
4,-0.106933594,-2.261214,2.261214
5,0.28320312,3.0121698,3.0121698
6,-0.025024414,-0.8309108,0.8309108
7,0.0022583008,-0.12063654,0.12063654
8,-0.17285156,-2.8858964,2.8858964
9,-0.010559082,-0.35004047,0.35004047
10,-0.0009918213,-0.3091422,0.3091422
11,-0.01550293,-0.6925509,0.6925509
12,-0.057373047,-1.2334073,1.2334073
13,0.19042969,3.4809067,3.4809067
14,-0.041748047,-0.30110016,0.30110016
15,0.013000488,0.15744627,0.15744627
16,0.15332031,1.8657112,1.8657112
17,-0.0070495605,1.1081781,1.1081781
18,0.12597656,1.1306235,1.1306235
19,0.08496094,1.7340239,1.7340239
20,0.02746582,0.20447424,0.20447424
21,0.020874023,0.31727353,0.31727353
22,-0.044433594,0.20070568,0.20070568
23,0.23828125,4.883637,4.883637
24,0.005004883,0.37626418,0.37626418
25,-0.002532959,-0.90342844,0.90342844
26,-0.00014591217,0.7912503,0.7912503
27,-0.032470703,0.14528179,0.14528179
28,0.0004043579,0.0063229734,0.0063229734
29,0.0036468506,-0.18770169,0.18770169
30,0.010314941,0.041732274,0.041732274
31,0.11621094,1.0007629,1.0007629
32,0.03857422,0.07980831,0.07980831
33,-0.29296875,-1.5890044,1.5890044
34,-0.013671875,0.21279967,0.21279967
35,-0.045654297,-1.3314598,1.3314598
36,-0.119140625,-1.7012248,1.7012248
37,-0.06689453,-1.3169792,1.3169792
38,-0.0067749023,0.17438151,0.17438151
39,-0.007751465,-0.6659921,0.6659921
40,0.12988281,-0.31024602,0.31024602
41,-0.20117188,-3.575095,3.575095
42,0.08642578,0.57013917,0.57013917
43,-0.21777344,-4.0571003,4.0571003
44,-0.02368164,-0.44734073,0.44734073
45,-0.13476562,-2.7882304,2.7882304
46,-0.0390625,-0.8328433,0.8328433
47,-0.040771484,-0.18295051,0.18295051
48,-0.13574219,-1.8992314,1.8992314
49,0.033935547,1.2725295,1.2725295
50,-0.020019531,0.1684676,0.1684676
51,-0.12402344,-1.6184007,1.6184007
52,0.009460449,0.6232297,0.6232297
53,0.0703125,1.4399184,1.4399184
54,0.026245117,-0.32103723,0.32103723
55,0.0006942749,0.118904896,0.118904896
56,-0.12109375,-2.1127827,2.1127827
57,-0.027709961,-0.2314718,0.2314718
58,0.015258789,-0.13275509,0.13275509
59,-0.140625,-2.111264,2.111264
60,-0.09472656,-0.2924723,0.2924723
61,2.9325485e-05,0.0032309794,0.0032309794
62,0.10107422,0.20008889,0.20008889
63,0.12158203,2.2553914,2.2553914
64,-0.13964844,-0.11987794,0.11987794
65,0.080078125,1.7001672,1.7001672
66,0.01184082,0.07064396,0.07064396
67,-0.048095703,-0.42719224,0.42719224
68,0.037353516,0.5544812,0.5544812
69,0.017578125,-0.05824065,0.05824065
70,-0.04272461,-1.457489,1.457489
71,-0.16210938,-1.4972042,1.4972042
72,0.08984375,0.80622435,0.80622435
73,0.08105469,0.6793875,0.6793875
74,-0.08544922,-0.542121,0.542121
75,-0.03564453,-0.6687773,0.6687773
76,-0.17480469,-3.2548444,3.2548444
77,0.08251953,0.6489175,0.6489175
78,0.02746582,-1.260214,1.260214
79,0.15234375,3.0164855,3.0164855
80,0.020141602,0.14477785,0.14477785
81,0.011962891,-0.23434196,0.23434196
82,-0.048095703,-1.0163504,1.0163504
83,-0.0023956299,0.1223085,0.1223085
84,-0.04272461,-0.20708704,0.20708704
85,0.11230469,1.6274095,1.6274095
86,0.020874023,-0.04160345,0.04160345
87,0.14160156,2.997121,2.997121
88,0.0056152344,-0.73502696,0.73502696
